iter	Passed	Remaining
0	11	14222
1	16	10101
2	22	8897
3	27	8225
4	32	7777
5	37	7545
6	42	7259
7	47	7090
8	52	6996
9	58	7019
10	64	6956
11	69	6885
12	74	6839
13	79	6775
14	85	6741
15	89	6643
16	94	6601
17	99	6544
18	104	6472
19	109	6457
20	114	6455
21	120	6450
22	125	6432
23	131	6431
24	136	6403
25	141	6407
26	147	6395
27	152	6382
28	158	6385
29	163	6360
30	167	6323
31	172	6298
32	177	6268
33	182	6255
34	187	6227
35	192	6216
36	197	6207
37	202	6201
38	207	6183
39	212	6159
40	216	6113
41	220	6088
42	225	6075
43	230	6063
44	236	6062
45	241	6047
46	245	6032
47	250	6019
48	255	6012
49	261	6004
50	265	5990
51	270	5976
52	275	5956
53	280	5942
54	284	5928
55	289	5916
56	294	5904
57	299	5891
58	303	5875
59	308	5867
60	313	5852
61	318	5843
62	323	5833
63	328	5830
64	333	5823
65	338	5810
66	343	5806
67	348	5801
68	354	5806
69	359	5807
70	364	5798
71	369	5794
72	376	5808
73	381	5809
74	386	5802
75	391	5794
76	396	5787
77	401	5778
78	406	5767
79	411	5754
80	416	5749
81	421	5746
82	426	5739
83	431	5731
84	436	5722
85	441	5722
86	447	5723
87	452	5720
88	457	5710
89	462	5700
90	466	5690
91	472	5687
92	476	5676
93	482	5671
94	486	5660
95	491	5649
96	495	5638
97	500	5629
98	505	5620
99	510	5611
100	515	5608
101	520	5600
102	525	5593
103	529	5584
104	535	5579
105	539	5572
106	545	5570
107	550	5570
108	555	5563
109	560	5554
110	566	5555
111	572	5556
112	577	5555
113	582	5551
114	587	5544
115	592	5537
116	597	5534
117	602	5526
118	607	5518
119	612	5511
120	617	5506
121	622	5500
122	627	5497
123	633	5496
124	638	5489
125	643	5484
126	648	5480
127	654	5478
128	660	5480
129	665	5481
130	671	5481
131	678	5486
132	684	5491
133	690	5494
134	696	5494
135	701	5490
136	707	5487
137	712	5481
138	718	5482
139	725	5489
140	730	5488
141	736	5487
142	742	5488
143	749	5493
144	756	5504
145	763	5514
146	770	5522
147	777	5528
148	782	5522
149	788	5522
150	794	5517
151	799	5512
152	805	5511
153	810	5506
154	815	5500
155	821	5498
156	827	5494
157	832	5487
158	838	5488
159	844	5487
160	850	5486
161	856	5488
162	862	5488
163	867	5482
164	873	5481
165	879	5477
166	884	5473
167	890	5470
168	896	5468
169	901	5463
170	907	5459
171	912	5455
172	917	5449
173	923	5446
174	930	5449
175	936	5450
176	942	5449
177	948	5444
178	954	5442
179	959	5438
180	965	5434
181	970	5430
182	976	5425
183	981	5421
184	988	5421
185	993	5416
186	998	5410
187	1004	5408
188	1010	5405
189	1016	5402
190	1021	5395
191	1027	5392
192	1032	5388
193	1037	5382
194	1043	5378
195	1048	5372
196	1054	5369
197	1060	5368
198	1066	5365
199	1071	5359
200	1077	5355
201	1082	5347
202	1093	5371
203	1114	5442
204	1129	5482
205	1142	5510
206	1149	5514
207	1154	5508
208	1160	5502
209	1166	5498
210	1172	5496
211	1178	5490
212	1183	5486
213	1189	5479
214	1194	5470
215	1199	5464
216	1204	5457
217	1210	5452
218	1215	5446
219	1221	5442
220	1229	5444
221	1235	5444
222	1243	5448
223	1253	5459
224	1263	5473
225	1270	5473
226	1276	5470
227	1281	5463
228	1287	5458
229	1293	5455
230	1301	5458
231	1307	5456
232	1313	5452
233	1320	5452
234	1329	5458
235	1335	5455
236	1342	5456
237	1349	5454
238	1355	5449
239	1362	5451
240	1369	5449
241	1376	5450
242	1382	5444
243	1388	5441
244	1395	5439
245	1402	5437
246	1408	5435
247	1414	5430
248	1421	5428
249	1428	5428
250	1435	5426
251	1442	5424
252	1448	5420
253	1454	5416
254	1460	5411
255	1467	5409
256	1472	5404
257	1479	5400
258	1485	5395
259	1491	5393
260	1498	5390
261	1504	5385
262	1510	5381
263	1517	5380
264	1522	5371
265	1529	5370
266	1535	5366
267	1541	5361
268	1548	5358
269	1554	5354
270	1560	5350
271	1567	5346
272	1572	5340
273	1579	5338
274	1586	5336
275	1592	5331
276	1599	5330
277	1606	5328
278	1612	5322
279	1618	5317
280	1624	5311
281	1629	5303
282	1634	5295
283	1639	5288
284	1647	5290
285	1654	5287
286	1660	5283
287	1666	5278
288	1672	5272
289	1678	5267
290	1685	5263
291	1693	5264
292	1698	5259
293	1705	5256
294	1711	5250
295	1717	5245
296	1723	5239
297	1729	5233
298	1735	5230
299	1742	5226
300	1748	5223
301	1754	5216
302	1759	5209
303	1765	5202
304	1770	5194
305	1775	5188
306	1781	5182
307	1786	5172
308	1791	5166
309	1797	5160
310	1803	5154
311	1808	5147
312	1814	5140
313	1819	5133
314	1824	5126
315	1830	5119
316	1835	5111
317	1840	5105
318	1847	5100
319	1852	5093
320	1857	5086
321	1863	5080
322	1868	5073
323	1874	5068
324	1880	5061
325	1884	5053
326	1890	5047
327	1896	5041
328	1901	5034
329	1907	5028
330	1913	5022
331	1918	5016
332	1923	5009
333	1929	5002
334	1934	4994
335	1939	4987
336	1945	4981
337	1949	4972
338	1955	4967
339	1961	4961
340	1966	4952
341	1972	4947
342	1977	4941
343	1982	4934
344	1988	4928
345	1994	4922
346	1999	4915
347	2005	4910
348	2011	4904
349	2016	4898
350	2023	4893
351	2028	4887
352	2034	4882
353	2039	4874
354	2045	4869
355	2051	4862
356	2056	4856
357	2061	4849
358	2066	4841
359	2071	4834
360	2077	4828
361	2082	4821
362	2087	4814
363	2093	4807
364	2097	4799
365	2103	4792
366	2108	4784
367	2113	4778
368	2118	4771
369	2123	4763
