iter	Logloss
0	0.6848388929
1	0.6769138837
2	0.669366604
3	0.6623736841
4	0.6558904978
5	0.6497630161
6	0.6438215624
7	0.6383989124
8	0.6337607239
9	0.6287581745
10	0.6244337184
11	0.620143565
12	0.6159064082
13	0.612152488
14	0.6083151127
15	0.6047013126
16	0.6017052824
17	0.5983763781
18	0.5956809976
19	0.5927321942
20	0.5902765895
21	0.5876140449
22	0.5849126944
23	0.582411739
24	0.5802712986
25	0.5781396524
26	0.5761810587
27	0.574380616
28	0.5726691097
29	0.5712042441
30	0.5695771946
31	0.5680323253
32	0.5665544585
33	0.5653106674
34	0.5638179805
35	0.5624915474
36	0.5611192942
37	0.5600686049
38	0.5589479945
39	0.5578555487
40	0.5567756327
41	0.5557656653
42	0.5547819372
43	0.5538117237
44	0.5527808806
45	0.5518994584
46	0.5508969142
47	0.5501091224
48	0.5491108373
49	0.5483223888
50	0.5474613493
51	0.5467509014
52	0.5459889886
53	0.5454769891
54	0.5449184869
55	0.5442661726
56	0.5435774352
57	0.5429568553
58	0.5423250135
59	0.5417431937
60	0.5410081614
61	0.5403422005
62	0.539763044
63	0.5392520842
64	0.538729864
65	0.5382056706
66	0.5377463264
67	0.5373006183
68	0.5368966502
69	0.5364828897
70	0.5360687234
71	0.5355713862
72	0.5350737692
73	0.5346670766
74	0.533976626
75	0.5335497607
76	0.5330314485
77	0.5325824431
78	0.5319883094
79	0.5315773864
80	0.5310896787
81	0.5307157209
82	0.5302743065
83	0.5297463487
84	0.5292690126
85	0.5289565833
86	0.5285201735
87	0.5281800605
88	0.5278130666
89	0.5274481018
90	0.5271694034
91	0.5268923633
92	0.5265273036
93	0.5261393793
94	0.5256696509
95	0.5254023268
96	0.5250325809
97	0.5246808436
98	0.5244113299
99	0.524076412
100	0.5237281364
101	0.5234658281
102	0.5229050417
103	0.522673398
104	0.5223127575
105	0.5220393277
106	0.5218442841
107	0.5214494909
108	0.5210179212
109	0.5207900211
110	0.5205370814
111	0.5201973792
112	0.5198980016
113	0.5196188569
114	0.5194187869
115	0.5190020066
116	0.5185939259
117	0.5182487084
118	0.5180214065
119	0.517787837
120	0.5175412042
121	0.5173382215
122	0.5170722248
123	0.5167923934
124	0.5165392371
125	0.5163218562
126	0.5160983256
127	0.5157801667
128	0.515563199
129	0.5153434439
130	0.515081812
131	0.5148280534
132	0.514605956
133	0.514372847
134	0.51415949
135	0.5139702521
136	0.5137772464
137	0.5135366645
138	0.5132759915
139	0.5131249034
140	0.512829119
141	0.5125723108
142	0.5123716137
143	0.5120237783
144	0.5116280378
145	0.5113489051
146	0.5111012993
147	0.5108437858
148	0.5106238704
149	0.5102715301
150	0.5100414434
151	0.5098798166
152	0.5094800053
153	0.509256899
154	0.5090534694
155	0.5088385566
156	0.5085906432
157	0.5081754975
158	0.507928684
159	0.5076155685
160	0.5073775819
161	0.5071247292
162	0.5068541972
163	0.5066169695
164	0.5064559303
165	0.5062471114
166	0.5059287597
167	0.5056314611
168	0.5053578142
169	0.5051233001
170	0.5048936053
171	0.5045642934
172	0.5044268648
173	0.5041807523
174	0.5039576297
175	0.503741216
176	0.5034359947
177	0.5031945074
178	0.5029062677
179	0.5025873262
180	0.5023618501
181	0.5021257517
182	0.5018321954
183	0.5016025623
184	0.5013602371
185	0.5011749381
186	0.5009357524
187	0.5006890678
188	0.5004741983
189	0.5002061694
190	0.4999502945
191	0.4996469974
192	0.4994083436
193	0.4992375205
194	0.4989644744
195	0.4986786903
196	0.4985047465
197	0.4983146706
198	0.4980096295
199	0.4977942685
200	0.4976285082
201	0.4973965794
202	0.4971760973
203	0.4968416672
204	0.4964980477
205	0.4962592181
206	0.4959078837
207	0.4956498166
208	0.4953798487
209	0.4951899753
210	0.4948500809
211	0.4947066595
212	0.4945359568
213	0.494408504
214	0.4941026244
215	0.493915761
216	0.4936311446
217	0.4933560802
218	0.4931381698
219	0.4929191437
220	0.4926914834
221	0.4925724465
222	0.4922506
223	0.4919952931
224	0.4916715184
225	0.4914808082
226	0.4912615803
227	0.4910954199
228	0.4907218463
229	0.4904806937
230	0.4903068862
231	0.4900082705
232	0.4896840647
233	0.4893051056
234	0.4891964934
235	0.4890499765
236	0.4887187829
237	0.4884028575
238	0.4880829333
239	0.4877443297
240	0.4876177351
241	0.4873426697
242	0.4871560797
243	0.4869052143
244	0.4866160547
245	0.4863721385
246	0.4862016818
247	0.4860104616
248	0.4858092288
249	0.4855160071
250	0.4852636548
251	0.4851745968
252	0.4848638523
253	0.4845427813
254	0.4843635062
255	0.4841725157
256	0.4837722118
257	0.4835722534
258	0.483432781
259	0.4832412039
260	0.483010331
261	0.4828143428
262	0.4824689003
263	0.4821642141
264	0.4818238548
265	0.4814931559
266	0.4813174076
267	0.4810897353
268	0.4808783813
269	0.4807629767
270	0.4804090864
271	0.4800952282
272	0.4797968523
273	0.4795182158
274	0.4793426971
275	0.4791828901
276	0.4789066662
277	0.4787392842
278	0.4785313054
279	0.4782048961
280	0.4779462201
281	0.4776518631
282	0.4774651472
283	0.4773201538
284	0.4771566815
285	0.4769390601
286	0.4767266739
287	0.4764867015
288	0.4762089696
289	0.4760561075
290	0.4759302781
291	0.4756518691
292	0.4754177422
293	0.47524575
294	0.4749069025
295	0.4746349836
296	0.4743011011
297	0.4741863655
298	0.4739177904
299	0.4737833488
300	0.4734620437
301	0.4732332468
302	0.4729359617
303	0.4726817789
304	0.4723763813
305	0.472154787
306	0.4719078755
307	0.4715932399
308	0.4713693812
309	0.471159846
310	0.4709423872
311	0.4707435294
312	0.4704677842
313	0.4703825645
314	0.4701399672
315	0.469808928
316	0.4696459723
317	0.469423236
318	0.4692153874
319	0.4689942678
320	0.4687125742
321	0.4684148453
322	0.4681986831
323	0.4679133364
324	0.4677011581
325	0.4673856809
326	0.4671526643
327	0.4668499482
328	0.4666068932
329	0.4664487558
330	0.4662331873
331	0.4659984723
332	0.4657566266
333	0.4654721029
334	0.4653022243
335	0.4650483068
336	0.4648535952
337	0.4646668171
338	0.4644398165
339	0.4640983914
340	0.4637392388
341	0.4635204049
342	0.4633367684
343	0.4631044111
344	0.4628878175
345	0.4625718251
346	0.4623744829
347	0.4620539944
348	0.4618789875
349	0.4617297221
350	0.4614147041
351	0.4611835667
352	0.4609219476
353	0.4606548877
354	0.4604280982
355	0.4602136408
356	0.4599634492
