iter	Passed	Remaining
0	14	14530
1	29	14728
2	44	14698
3	57	14365
4	70	13941
5	84	14010
6	100	14252
7	113	14082
8	129	14205
9	145	14358
10	173	15622
11	187	15423
12	200	15258
13	214	15112
14	228	14972
15	243	14973
16	258	14970
17	272	14881
18	287	14858
19	302	14805
20	317	14783
21	333	14816
22	347	14748
23	363	14788
24	376	14687
25	390	14646
26	404	14594
27	423	14690
28	440	14745
29	465	15040
30	477	14927
31	489	14812
32	514	15085
33	528	15027
34	542	14969
35	555	14878
36	568	14789
37	582	14754
38	600	14795
39	617	14822
40	635	14855
41	654	14921
42	672	14959
43	688	14964
44	705	14976
45	722	14983
46	735	14908
47	750	14890
48	769	14935
49	789	14996
50	805	14983
51	826	15059
52	847	15148
53	862	15113
54	876	15066
55	892	15051
56	913	15113
57	932	15149
58	947	15106
59	961	15060
60	976	15029
61	990	14983
62	1007	14990
63	1022	14959
64	1037	14924
65	1054	14928
66	1070	14902
67	1083	14854
68	1098	14817
69	1110	14757
70	1125	14722
71	1141	14708
72	1176	14933
73	1192	14917
74	1205	14869
75	1218	14809
76	1230	14745
77	1244	14704
78	1257	14662
79	1272	14633
80	1286	14591
81	1302	14586
82	1318	14571
83	1345	14674
84	1358	14626
85	1372	14589
86	1384	14531
87	1397	14479
88	1410	14434
89	1423	14397
90	1438	14364
91	1450	14314
92	1463	14276
93	1477	14242
94	1492	14218
95	1508	14204
96	1523	14186
97	1539	14166
98	1554	14144
99	1567	14106
100	1582	14084
101	1595	14050
102	1610	14025
103	1625	14007
104	1641	13989
105	1657	13978
106	1673	13967
107	1686	13931
108	1700	13897
109	1716	13886
110	1735	13901
111	1760	13958
112	1779	13967
113	1793	13942
114	1807	13912
115	1829	13943
116	1856	14012
117	1876	14022
118	1895	14030
119	1915	14048
120	1936	14068
121	1958	14096
122	1979	14114
123	1993	14083
124	2008	14056
125	2022	14029
126	2037	14007
127	2053	13986
128	2067	13957
129	2082	13934
130	2097	13913
131	2110	13881
132	2125	13854
133	2140	13836
134	2156	13818
135	2171	13795
136	2186	13771
137	2200	13743
138	2214	13717
139	2227	13680
140	2241	13655
141	2256	13635
142	2270	13609
143	2284	13577
144	2299	13556
145	2313	13534
146	2329	13519
147	2347	13511
148	2363	13496
149	2375	13460
150	2388	13427
151	2400	13390
152	2419	13395
153	2431	13359
154	2444	13324
155	2456	13292
156	2468	13254
157	2480	13218
158	2493	13190
159	2508	13169
160	2524	13154
161	2539	13136
162	2554	13118
163	2569	13098
164	2582	13067
165	2597	13052
166	2613	13033
167	2626	13007
168	2640	12985
169	2658	12979
170	2672	12956
171	2687	12937
172	2701	12914
173	2715	12888
174	2734	12892
175	2748	12867
176	2773	12895
177	2786	12867
178	2800	12844
179	2813	12816
180	2826	12791
181	2840	12765
182	2854	12742
183	2874	12748
184	2887	12719
185	2910	12738
186	2925	12719
187	2940	12700
188	2959	12698
189	2974	12682
190	2990	12665
191	3004	12643
192	3018	12619
193	3031	12596
194	3046	12577
195	3060	12553
196	3073	12528
197	3087	12504
198	3101	12484
199	3116	12464
200	3129	12441
201	3144	12422
202	3159	12403
203	3173	12384
204	3187	12360
205	3202	12343
206	3217	12325
207	3231	12306
208	3245	12283
209	3259	12263
210	3274	12244
211	3286	12216
212	3325	12287
213	3347	12293
214	3368	12298
215	3387	12294
216	3408	12297
217	3428	12299
218	3448	12297
219	3466	12289
220	3485	12286
221	3505	12286
222	3521	12270
223	3540	12267
224	3556	12248
225	3568	12220
226	3584	12205
227	3600	12191
228	3616	12175
229	3629	12151
230	3644	12131
231	3657	12108
232	3671	12085
233	3685	12063
234	3699	12042
235	3714	12024
236	3729	12008
237	3744	11990
238	3759	11972
239	3776	11958
240	3791	11941
241	3806	11921
242	3819	11899
243	3844	11912
244	3857	11887
245	3871	11865
246	3884	11843
247	3898	11820
248	3912	11800
249	3926	11779
250	3941	11762
251	3955	11739
252	3969	11720
253	3982	11697
254	3996	11676
255	4012	11660
256	4025	11638
257	4039	11618
258	4055	11602
259	4070	11584
260	4084	11564
261	4098	11543
262	4113	11525
263	4127	11507
264	4142	11488
265	4184	11547
266	4217	11578
267	4234	11566
268	4254	11561
269	4274	11556
270	4293	11548
271	4309	11533
272	4325	11518
273	4359	11550
274	4372	11527
275	4395	11529
276	4413	11519
277	4430	11507
278	4453	11507
279	4486	11536
280	4503	11522
281	4517	11501
282	4529	11475
283	4550	11471
284	4567	11458
285	4585	11448
286	4607	11445
287	4620	11423
288	4636	11407
289	4666	11424
290	4693	11434
291	4734	11479
292	4752	11466
293	4769	11453
294	4788	11442
295	4806	11432
296	4822	11414
297	4841	11404
298	4854	11381
299	4874	11374
300	4890	11358
301	4907	11343
302	4925	11330
303	4939	11308
304	4953	11287
305	4967	11266
306	4979	11241
307	4997	11228
308	5014	11214
309	5030	11196
310	5045	11177
311	5060	11158
312	5075	11139
313	5093	11127
314	5107	11107
315	5121	11085
316	5136	11066
317	5150	11046
318	5165	11028
319	5181	11011
320	5196	10991
321	5212	10975
322	5226	10955
323	5255	10965
324	5275	10956
325	5289	10935
326	5303	10914
327	5317	10894
328	5331	10873
329	5347	10856
330	5361	10836
331	5374	10813
332	5388	10792
333	5402	10771
334	5418	10755
335	5436	10742
336	5453	10729
337	5470	10714
338	5487	10700
339	5505	10686
340	5522	10673
341	5538	10656
342	5554	10638
343	5568	10619
344	5582	10598
345	5596	10578
346	5610	10557
347	5624	10538
348	5639	10520
349	5655	10502
350	5669	10483
351	5684	10464
352	5699	10446
353	5716	10431
354	5732	10415
355	5745	10393
356	5758	10371
357	5773	10352
358	5785	10330
359	5800	10311
360	5814	10292
361	5828	10272
362	5840	10249
363	5855	10231
364	5874	10220
365	5887	10198
366	5900	10176
367	5914	10157
368	5927	10136
369	5945	10123
370	5958	10102
371	5972	10082
372	5986	10062
373	5999	10041
374	6013	10022
375	6026	10001
376	6039	9980
377	6054	9962
378	6068	9942
379	6082	9924
380	6096	9904
381	6113	9891
382	6127	9871
383	6140	9850
