iter	Logloss
0	0.6850230554
1	0.6774820104
2	0.6701746673
3	0.6631001344
4	0.6567449983
5	0.6504810836
6	0.6447721012
7	0.6391830917
8	0.63447487
9	0.6296736717
10	0.6248072363
11	0.6203956222
12	0.6162865709
13	0.6122224362
14	0.608553725
15	0.6052108171
16	0.6020742053
17	0.5990574446
18	0.5957050799
19	0.5928754168
20	0.5909627697
21	0.5884471015
22	0.5858244255
23	0.5835558773
24	0.5813275964
25	0.5794735137
26	0.577527044
27	0.5754768384
28	0.5736033596
29	0.5719774167
30	0.570336587
31	0.5685134312
32	0.5670051218
33	0.5653277665
34	0.5641020229
35	0.562812035
36	0.5615515792
37	0.5602906851
38	0.5588295084
39	0.557670513
40	0.5565628096
41	0.555584854
42	0.5544989407
43	0.553591599
44	0.5527437517
45	0.5518314798
46	0.5510809819
47	0.550190671
48	0.5495125644
49	0.5486691646
50	0.5478692381
