iter	Passed	Remaining
0	19	19708
1	33	16703
2	48	16018
3	66	16482
4	79	15842
5	92	15324
6	104	14860
7	120	14954
8	136	15025
9	153	15170
10	169	15212
11	187	15439
12	205	15589
13	223	15708
14	241	15865
15	261	16076
16	280	16205
17	298	16302
18	316	16318
19	333	16361
20	347	16204
21	364	16206
22	377	16026
23	390	15865
24	402	15712
25	415	15572
26	428	15428
27	440	15303
28	454	15230
29	468	15155
30	481	15046
31	494	14969
32	508	14893
33	520	14791
34	536	14791
35	552	14807
36	567	14774
37	581	14731
38	595	14683
39	609	14626
40	625	14629
41	642	14657
42	661	14730
43	688	14967
44	711	15096
45	731	15164
46	754	15299
47	776	15398
48	800	15527
49	821	15613
50	841	15660
